match_id,team_id,matches,possessions,passes,completed_passes,carries,shots,goals,statsbomb_xg,non_penalty_xg,open_play_xg,set_piece_xg,xt_added,positive_xt,negative_xt,progressive_passes,progressive_carries,final_third_entries,box_entries,final_third_possession_entries,box_possession_entries,xg_per_shot,xt_per_possession,progressive_passes_per_100_passes,progressive_carries_per_100_possessions,final_third_entries_per_possession,box_entries_per_possession
3857269,773,1,92,513,429,441,6,0,0.288629175,0.288629175,0.091759657,0.196869518,1.4620397788056563,4.3465605247862555,-2.8845207459805997,5,14,48,22,32,16,0.048104862500000005,0.015891736726148437,0.9746588693957114,15.217391304347828,0.5217391304347826,0.2391304347826087
3857269,781,1,107,597,512,551,13,1,0.922729946,0.922729946,0.285187176,0.599229918,2.8806019421317157,7.269030587509953,-4.3884286453782355,13,21,80,47,56,38,0.07097922661538461,0.0269215134778665,2.1775544388609713,19.626168224299064,0.7476635514018691,0.4392523364485981
3857270,780,1,109,626,528,519,15,2,1.2137340055999999,0.4302340056,0.1915994606,0.15077036,1.6208463820177836,6.030243582541728,-4.409397200523944,20,24,65,36,45,26,0.08091560037333333,0.014870150293741134,3.1948881789137378,22.018348623853214,0.5963302752293578,0.3302752293577982
3857270,783,1,112,438,328,296,11,0,1.216681074,1.216681074,0.400688036,0.815993038,2.1322101982284183,4.713013192083016,-2.580802993854597,15,16,59,29,46,25,0.11060737036363637,0.019037591055610877,3.4246575342465753,14.285714285714285,0.5267857142857143,0.25892857142857145
3857271,768,1,96,846,751,674,13,6,1.987157745,1.987157745,0.45738636299999996,1.5297713819999998,2.155251285910498,8.345944329884851,-6.190693043974353,24,19,86,42,55,37,0.1528582880769231,0.022450534228234356,2.8368794326241136,19.791666666666664,0.8958333333333334,0.4375
3857271,797,1,87,247,165,201,8,2,1.4556585987,0.6721585987,0.4701649367,0.139971012,0.7763210892621507,2.3136280809139524,-1.5373069916518014,12,6,35,16,29,14,0.1819573248375,0.008923230911059203,4.8582995951417,6.896551724137931,0.40229885057471265,0.1839080459770115
3857272,768,1,80,582,504,466,8,0,0.460638346,0.460638346,0.0710417,0.389596646,2.6430464137084506,6.254606878729414,-3.6115604650209634,16,17,69,35,41,25,0.05757979325,0.033038080171355635,2.7491408934707904,21.25,0.8625,0.4375
3857272,1839,1,90,456,380,379,10,0,0.514287002,0.514287002,0.12886956,0.343154142,1.9156547768726782,4.512619480385121,-2.5969647035124424,13,31,55,34,41,26,0.0514287002,0.02128505307636309,2.850877192982456,34.44444444444444,0.6111111111111112,0.37777777777777777
3857273,797,1,117,363,231,243,21,2,1.4539579476000002,1.4539579476000002,0.203552376,0.4554189046,1.8874641450244085,4.103260803359471,-2.215796658335063,19,23,64,59,50,39,0.06923609274285715,0.0161321721796958,5.234159779614325,19.65811965811966,0.5470085470085471,0.5042735042735043
3857273,907,1,113,559,440,429,10,0,0.6156351910000001,0.6156351910000001,0.331753552,0.283881639,2.171038375925108,5.756027410264366,-3.5849890343392583,25,13,81,43,59,34,0.061563519100000005,0.019212728990487683,4.47227191413238,11.504424778761061,0.7168141592920354,0.3805309734513274
3857274,941,1,107,552,462,401,2,1,0.104464025,0.104464025,0.04520454,0.059259485,1.6692872278735869,4.528620744080746,-2.859333516207159,13,11,62,17,49,15,0.0522320125,0.01560081521377184,2.355072463768116,10.2803738317757,0.5794392523364486,0.1588785046728972
3857274,3565,1,104,463,367,364,15,1,1.651054305,1.651054305,0.34780273700000003,0.512342568,1.9788295058825622,4.829531688738655,-2.850702182856093,13,12,53,36,45,28,0.110070287,0.01902720678733233,2.8077753779697625,11.538461538461538,0.5096153846153846,0.34615384615384615
3857275,771,1,115,661,567,598,10,0,0.47698937399999997,0.47698937399999997,0.16350223,0.313487144,2.6709762074485077,7.125607392869281,-4.454631185420773,15,25,76,36,52,26,0.047698937399999995,0.02322588006476963,2.26928895612708,21.73913043478261,0.6608695652173913,0.3130434782608696
3857275,777,1,105,361,276,287,5,1,0.298346986,0.298346986,0.167106839,0.131240147,2.559305309993655,4.242287073717387,-1.6829817637237312,10,18,59,37,44,31,0.059669397199999995,0.024374336285653855,2.7700831024930745,17.142857142857142,0.5619047619047619,0.3523809523809524
3857276,788,1,100,393,312,341,7,2,0.42640382499999996,0.42640382499999996,0.09711841,0.32928541499999997,1.4708205421816745,3.5129121557676637,-2.0420916135859892,13,12,44,19,35,17,0.06091483214285714,0.014708205421816745,3.307888040712468,12.0,0.44,0.19
3857276,1833,1,99,562,481,480,5,1,1.095618012,1.095618012,0.090786178,0.725687224,2.4727517468253386,6.284597163695015,-3.8118454168696765,18,18,79,31,50,25,0.2191236024,0.024977290371973118,3.202846975088968,18.181818181818183,0.797979797979798,0.31313131313131315
3857277,785,1,115,686,579,572,5,0,0.8498605050000001,0.8498605050000001,,0.8498605050000001,1.6727951570264739,5.285981331871378,-3.613186174844904,16,8,76,36,58,28,0.16997210100000001,0.014546044843708469,2.3323615160349855,6.956521739130435,0.6608695652173913,0.3130434782608696
3857277,788,1,90,384,305,332,8,0,0.362638976,0.362638976,0.121324103,0.16168844300000002,1.8770575806417304,3.309221902710476,-1.4321643220687448,12,10,47,21,38,19,0.045329872,0.020856195340463672,3.125,11.11111111111111,0.5222222222222223,0.23333333333333334
3857278,797,1,111,515,403,371,4,0,0.9207899420000001,0.9207899420000001,,0.9207899420000001,2.5917546249775736,5.579992866757433,-2.9882382417798588,17,16,78,36,53,29,0.23019748550000002,0.023349140765563724,3.300970873786408,14.414414414414415,0.7027027027027027,0.32432432432432434
3857278,1839,1,103,517,427,445,12,1,1.169654601,1.169654601,0.7109990230000001,0.458655578,2.850612824948766,6.509514390924883,-3.658901565976116,27,32,84,38,63,31,0.09747121674999999,0.027675852669405497,5.222437137330754,31.06796116504854,0.8155339805825242,0.36893203883495146
3857279,771,1,90,763,682,606,23,4,3.170495788,3.170495788,1.710515545,1.4599802429999997,3.8287074364545965,9.41713347480628,-5.588426038351683,16,28,94,55,47,38,0.13784764295652174,0.04254119373838441,2.0969855832241153,31.11111111111111,1.0444444444444445,0.6111111111111112
3857279,792,1,81,475,397,370,4,1,0.32329254,0.32329254,,0.32329254,0.992982800552189,3.3078908367702256,-2.3149080362180365,10,9,43,17,35,16,0.080823135,0.012259046920397395,2.1052631578947367,11.11111111111111,0.5308641975308642,0.20987654320987653
