match_id,team_id,opponent_id,classic_opponent_passes,classic_defensive_actions,ppda_classic,pressure_events_added,augmented_defensive_actions,ppda_pressure_augmented,classic_missing_reason,augmented_missing_reason,spatial_frame_version,ppda_definition_version
3857267,3565,787,70,27,2.5925925925925926,49,76,0.9210526315789473,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857267,787,3565,132,15,8.8,76,91,1.4505494505494505,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857287,783,791,120,17,7.0588235294117645,42,59,2.0338983050847457,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857287,791,783,183,20,9.15,63,83,2.2048192771084336,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869486,788,780,192,12,16.0,59,71,2.704225352112676,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869486,780,788,70,21,3.3333333333333335,69,90,0.7777777777777778,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857260,799,794,118,19,6.2105263157894735,61,80,1.475,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857260,794,799,77,30,2.566666666666667,75,105,0.7333333333333333,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857264,789,779,255,13,19.615384615384617,41,54,4.722222222222222,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857264,779,789,89,19,4.684210526315789,62,81,1.0987654320987654,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857289,779,794,84,19,4.421052631578948,62,81,1.037037037037037,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857289,794,779,136,24,5.666666666666667,86,110,1.2363636363636363,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869254,780,773,134,17,7.882352941176471,112,129,1.0387596899224807,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869254,773,780,150,18,8.333333333333334,82,100,1.5,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869118,768,787,124,30,4.133333333333334,64,94,1.3191489361702127,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869118,787,768,175,17,10.294117647058824,88,105,1.6666666666666667,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869519,779,785,169,26,6.5,109,135,1.2518518518518518,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869519,785,779,165,17,9.705882352941176,48,65,2.5384615384615383,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869354,768,771,164,21,7.809523809523809,67,88,1.8636363636363635,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869354,771,768,121,13,9.307692307692308,61,74,1.635135135135135,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869552,771,788,111,24,4.625,103,127,0.8740157480314961,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869552,788,771,133,24,5.541666666666667,80,104,1.2788461538461537,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869420,785,781,201,27,7.444444444444445,66,93,2.161290322580645,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869420,781,785,245,40,6.125,114,154,1.5909090909090908,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869220,788,772,251,17,14.764705882352942,68,85,2.9529411764705884,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869220,772,788,153,22,6.954545454545454,115,137,1.1167883211678833,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869219,778,785,285,20,14.25,78,98,2.9081632653061225,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869219,785,778,199,22,9.045454545454545,85,107,1.8598130841121496,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869253,781,791,152,18,8.444444444444445,53,71,2.140845070422535,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869253,791,781,190,25,7.6,99,124,1.532258064516129,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869152,771,789,250,12,20.833333333333332,61,73,3.4246575342465753,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869152,789,771,158,16,9.875,78,94,1.6808510638297873,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869117,941,1839,167,15,11.133333333333333,60,75,2.2266666666666666,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869117,1839,941,188,17,11.058823529411764,69,86,2.186046511627907,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857270,780,783,110,13,8.461538461538462,42,55,2.0,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857270,783,780,218,22,9.909090909090908,80,102,2.1372549019607843,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857263,772,770,156,18,8.666666666666666,76,94,1.6595744680851063,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857263,770,772,224,37,6.054054054054054,116,153,1.4640522875816993,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857259,2722,786,215,18,11.944444444444445,68,86,2.5,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857259,786,2722,123,23,5.3478260869565215,68,91,1.3516483516483517,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857283,782,788,133,18,7.388888888888889,64,82,1.6219512195121952,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857283,788,782,228,19,12.0,105,124,1.8387096774193548,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857286,3566,3565,176,13,13.538461538461538,59,72,2.4444444444444446,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857286,3565,3566,131,20,6.55,97,117,1.1196581196581197,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857300,779,799,64,12,5.333333333333333,55,67,0.9552238805970149,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
