match_id,team_id,opponent_id,pressure_events,pressure_sequences,counterpress_events,high_pressure_events,pressure_events_per_30_opponent_passes,pressure_events_per_100_opponent_actions,pressure_events_per_opponent_possession,eligible_opponent_possession_seconds,pressure_events_per_opponent_possession_minute,mean_pressure_height,median_pressure_height,pressure_regain_3s_rate,pressure_regain_5s_rate,pressure_regain_8s_rate,sequence_regain_3s_rate,sequence_regain_5s_rate,sequence_regain_8s_rate,high_regains,shots_after_pressure_regain_10s,shots_after_pressure_regain_15s,xg_after_pressure_regains,xt_after_pressure_regains,valid_pressure_360_events,pressure_360_coverage_rate
3857297,789,799,103,88,25,29,21.310344827586206,5.170682730923694,1.0842105263157895,1714.0,3.605600933488915,44.711650485436884,39.6375,0.08737864077669903,0.10679611650485436,0.1650485436893204,0.10227272727272728,0.125,0.18181818181818182,3,1,1,0.4181081,,95,1.0
3857297,799,789,123,108,32,40,46.708860759493675,10.165289256198347,1.3977272727272727,1056.0,6.988636363636363,48.71189024390244,47.8625,0.15447154471544716,0.1951219512195122,0.2764227642276423,0.1574074074074074,0.19444444444444445,0.2777777777777778,7,3,3,0.59387678,,115,1.0
3857294,941,3566,137,116,25,61,25.060975609756095,8.218356328734252,1.6506024096385543,1214.0,6.771004942339373,54.26596715328467,52.0625,0.15328467153284672,0.21897810218978103,0.27007299270072993,0.1810344827586207,0.25,0.3103448275862069,16,4,4,0.29920669,,125,1.0
3857294,3566,941,127,109,18,18,20.706521739130434,4.803328290468986,1.6493506493506493,1421.0,5.362420830401126,36.93602362204724,32.8125,0.16535433070866143,0.2047244094488189,0.2204724409448819,0.1743119266055046,0.2018348623853211,0.21100917431192662,4,1,2,0.054659312,,124,1.0
3857266,771,776,109,92,20,20,17.301587301587304,5.627258647392876,1.3974358974358974,1409.0,4.6415897799858055,37.99185779816515,36.05,0.14678899082568808,0.1926605504587156,0.26605504587155965,0.16304347826086957,0.1956521739130435,0.2717391304347826,4,2,3,0.47553260799999997,,92,1.0
3857266,776,771,127,116,16,45,20.37433155080214,6.628392484342379,1.548780487804878,1372.0,5.553935860058309,52.545472440944884,49.7875,0.16535433070866143,0.1968503937007874,0.2677165354330709,0.1896551724137931,0.22413793103448276,0.29310344827586204,9,2,2,0.074711183,,99,1.0
3857284,770,778,86,78,26,54,28.98876404494382,7.344150298889837,1.1944444444444444,848.0,6.084905660377359,63.93706395348838,71.05000000000001,0.2558139534883721,0.3372093023255814,0.38372093023255816,0.2692307692307692,0.34615384615384615,0.3974358974358974,9,0,0,0.897035918,,79,1.0
3857284,778,770,184,153,19,53,38.33333333333333,7.227022780832678,1.8217821782178218,1679.0,6.575342465753424,48.34898097826087,48.3875,0.08695652173913043,0.09239130434782608,0.14130434782608695,0.0915032679738562,0.0915032679738562,0.13725490196078433,3,1,1,0.623356411,,166,1.0
3857254,776,777,109,96,30,46,19.81818181818182,7.10560625814863,1.1720430107526882,1207.0,5.418392709196355,58.98623853211011,57.22500000000001,0.1651376146788991,0.23853211009174313,0.3577981651376147,0.1875,0.2604166666666667,0.375,10,1,1,2.3061409609999997,,98,1.0
3857254,777,776,130,114,25,25,15.17509727626459,6.0577819198508855,1.2871287128712872,1559.0,5.003207184092367,40.73125,35.175,0.11538461538461539,0.16923076923076924,0.2076923076923077,0.13157894736842105,0.18421052631578946,0.22807017543859648,5,1,1,0.042179022,,110,1.0
3857265,794,789,96,84,23,34,27.96116504854369,7.048458149779736,1.1162790697674418,1176.0,4.897959183673469,50.481119791666664,48.3875,0.09375,0.13541666666666666,0.1875,0.10714285714285714,0.15476190476190477,0.20238095238095238,3,0,0,0.0326026394,,86,1.0
3857265,789,794,135,110,26,30,24.107142857142858,7.409440175631174,1.569767441860465,1493.0,5.425318151373075,43.82648148148149,43.05,0.14814814814814814,0.2,0.22962962962962963,0.17272727272727273,0.20909090909090908,0.24545454545454545,6,1,1,0.22368148999999998,,122,1.0
3857301,3566,787,149,129,22,45,28.471337579617835,7.809224318658281,1.7738095238095237,1434.0,6.2343096234309625,45.38548657718121,39.55,0.14093959731543623,0.19463087248322147,0.2550335570469799,0.16279069767441862,0.2248062015503876,0.27906976744186046,7,1,2,0.829345768,,125,1.0
3857301,787,3566,137,119,25,58,30.671641791044774,8.363858363858363,1.4421052631578948,1496.0,5.494652406417112,55.15374087591241,58.45,0.16058394160583941,0.24087591240875914,0.32116788321167883,0.15966386554621848,0.23529411764705882,0.3277310924369748,13,2,2,0.42692631000000003,,119,1.0
3857268,782,1833,83,73,9,15,17.054794520547947,4.911242603550296,0.9764705882352941,1297.0,3.8396299151888975,42.026355421686745,41.3,0.08433734939759036,0.12048192771084337,0.14457831325301204,0.0958904109589041,0.136986301369863,0.1643835616438356,1,0,1,0.310981526,,68,1.0
3857268,1833,782,112,102,16,45,20.61349693251534,6.19126589275843,1.3333333333333333,1228.0,5.4723127035830625,55.15390625,55.7375,0.09821428571428571,0.15178571428571427,0.21428571428571427,0.09803921568627451,0.14705882352941177,0.22549019607843138,5,1,4,0.644527376,,102,1.0
3857269,781,773,104,92,18,50,22.608695652173914,5.977011494252873,1.368421052631579,1160.0,5.379310344827586,59.65060096153846,61.25,0.25961538461538464,0.3173076923076923,0.375,0.2717391304347826,0.30434782608695654,0.358695652173913,9,0,1,0.29009678299999997,,92,1.0
3857269,773,781,112,100,26,20,30.0,5.474095796676441,1.2444444444444445,1537.0,4.372153545868575,43.37109375,43.53125,0.07142857142857142,0.125,0.14285714285714285,0.07,0.1,0.12,3,0,1,0.0625126,,100,1.0
3869321,941,779,216,175,27,50,28.672566371681416,9.452954048140045,1.8620689655172413,1778.0,7.2890888638920135,48.47864583333333,48.7375,0.09722222222222222,0.13425925925925927,0.18055555555555555,0.10285714285714286,0.14857142857142858,0.19428571428571428,4,0,1,0.089517,,172,1.0
3869321,779,941,190,159,31,55,24.463519313304722,7.929883138564274,1.6666666666666667,1830.0,6.229508196721311,48.549144736842095,46.725,0.12105263157894737,0.1631578947368421,0.19473684210526315,0.13836477987421383,0.1761006289308176,0.20754716981132076,8,1,3,0.8906826560000001,,158,1.0
3857292,795,770,125,110,14,16,16.025641025641026,5.05663430420712,1.3736263736263736,1760.0,4.261363636363637,33.497099999999996,27.5625,0.096,0.16,0.216,0.10909090909090909,0.16363636363636364,0.21818181818181817,3,0,0,0.14103858,,114,1.0
3857292,770,795,140,115,34,79,26.582278481012658,10.021474588403724,1.5909090909090908,1069.0,7.857811038353602,61.32250000000001,66.5,0.15,0.22857142857142856,0.3,0.17391304347826086,0.23478260869565218,0.28695652173913044,11,5,6,2.110215694,,122,1.0
3857295,778,795,146,119,26,68,25.02857142857143,8.613569321533923,1.697674418604651,1187.0,7.379949452401011,59.394520547945206,58.625,0.23972602739726026,0.273972602739726,0.3150684931506849,0.2184873949579832,0.2605042016806723,0.31092436974789917,14,2,2,0.145300463,,124,1.0
3857295,795,778,161,133,38,16,24.393939393939394,7.55868544600939,1.9634146341463414,1397.0,6.914817465998568,37.75489130434782,35.6125,0.18012422360248448,0.21739130434782608,0.2484472049689441,0.18796992481203006,0.21052631578947367,0.2556390977443609,1,0,0,0.065532959,,149,1.0
3869685,779,771,167,134,46,36,32.96052631578947,8.246913580246913,1.218978102189781,1697.0,5.904537418974661,45.20868263473054,42.875,0.18562874251497005,0.2215568862275449,0.2634730538922156,0.19402985074626866,0.22388059701492538,0.26119402985074625,12,3,5,0.5054459849999999,,142,1.0
3869685,771,779,194,166,35,60,24.049586776859503,8.21685726387124,1.6440677966101696,1850.0,6.2918918918918925,49.23498711340206,50.1375,0.4793814432989691,0.5257731958762887,0.5463917525773195,0.12650602409638553,0.1746987951807229,0.20481927710843373,7,1,2,0.23585449999999997,,159,1.0
